,news,catagory
0,"Ministeerichi qabeenya uummaamaa irratti marii gaggeessaa jira.
Finfinnee Muddee 24, 2012(FBC) – Ministeerri Qonnaa fi Qabeenya Uummamaa hojii qabeenya uummamaarratti magaalaa Adaamaatti marii gaggeessaa jira.
Haalaa fi qabiinsa biqiltuu bara darbe dhaabbatee fi lafa hojii misooma sululaan misooman irratti mariin gaggeeffamaa jiraachuu ministeerrichatti deettaan ministiraa Dooktar Kabaa Urgeessaan ibsaniiru.
Marichi mata duree ""Qabeenya uumamaa badhaadhina keenyaaf"" jedhuun qooda fudhattoota waliin marihatamaa jira.
Hojiiwwan gama misooma qabeenya uumamaan hojjetaman irratti waraqaan qorannoo dhiyaatera.
Qonnaan bultootaa fi horsiisee bultoota leenjisuun hojiitti galchuu irratti hojiin hojjetame gaarii tahuun himeera.
Bara darbee keessa lafa heektaara miiliyoona 9 misooma sululaan misoomsuun dandahamuu isaa gabaasa dhiyaateen ibsameera.
Naannoleen karoora isaanii yeroon dhiyeessuu dhabuun, hojiin misooma sululaa dhaabbiin hojjetamuu dhabuu fi rakkoon qulqullina hojii jiraachuun akka hanqinaatti ka'eera.
Qabeenya uummamaa bu'uura diinagdee taasiisuuf xiyyeeffannoon hojjetamuu akka qabu Dooktara Kabaan hubachiisaniiru.",agriculture
1,"Ministeerri Qonnaa FDRI oomishti qonnaan bulaa akka hin qisaasamne yaadachiise.

Ministeerichi oomishti sassaabbame sirnaan akka kaa'amus dhaamera.

Ministir deettaan ministeerichaa obbo Saanii Raddiin Faanaa Broodkaastiing Koorporeetitti akka himanitti, lafa bara oomisha qonna Gannaa 2011/2012tti sanyiidhan uwwifame keessaa %90 sassaabbameera.

Yeroo sassaabbiitti akkuma of eeggannaan taasifamu, kuusaa keessattis akka hin qisaasamne of eeggannaa gochuun barbaachisaa ta'uu eeraniiru.

Qophii ooyruurratti fayyadamtummaan meekaanaayzeeshinii sadarkaa olaanaarra qaqqabaa dhufuu ibsaniiru.

Oomishti naannoo baddaatti walitti hin qabamin akka sassaabbamuuf roobni sodaachisaan midhaan balleesu jiraachuu baatus, hirmaannaa fi tumsi hawaasaa akka itti fufu gaafataniiru.

Midhaan ooyrurraa sassaabuun cinaatti, hojiin misooma jallisii itti fufuu ibsan obbo Saaniin.

Lafa misooma jallisii qamadiidhan uwwisuuf karoorfame heektaara kuma 32 keessaa amma ammaatti kumni 7,500 sanyiidhan uwwifameera.

Qonnaan bulaan jallisiidhan ni misoomsa lafa jedhame heektaara miiliyoona 1.2 keessaa kumni dhibbi 6 misoomuu eegaleera.",agriculture
2,"OBN Mud.30,2012- Oomisha baranaarraa callaan kuntaalli miliyoona 329 fi kuma 7 ni argama jedhame.

Oomisha bara kanaarraa callaan kuntaalli miliyoona 329 fi kuma 7 ni argama jedhame akka abdatamu Ejeensiin Istaatiksii Biyyaaleessaa beeksiseera.

Akka tilmaama kanaatti callaan ni argama jedhame kun kan bara oomishaa dabre waliin yoo madaalamu, dhibbeentaa 4.3n yookiin kuntaala miliyoona 13.7n dabalata qabas jedhameera akka EBCn gabaaseetti.",agriculture
3,"BN Mud.30,2012- Godina Boorana Aanalee 12 keessatti weerarri awwannisaa muldhachuun himame.

weerarri kana mala aadatiin ittisuuf yaalanillee,humna ol ta'uu jiraatonni godinichaa dubbataniiru.

Godina Booranaa aanaalee horsiifatee bulaa 11 fi cinaan qonnaan bulaa tokkoo keessatti weerarri kun hammaachaa jira jedhame.

Hawwaannisi kun margaa fi baala mukaa mancaasuun nyaata loonirraatti dhibbaa uumeera.

Itti gaafatamaan Waajjira Qonnaa fi Qabeenya Ummamaa Godinichaa, Obbo Mahammad Abbaa Qoodaa weerarri awwaansi kun aanaa Gomolee alatti aanaalee hundatti muldhateera.

Miidhaa weerarri awwaannisa kun margaa fi midhaanirraan gahaa jiru ittisuuf hunduu tumsuu akka qabuus dhaamaniiru.
Guyyoo Jilootu gabaase.",agriculture
4,"Naannoo Oromiyaatti misooma jallisiin lafa hektaara kuma dhibba 3 fi kuma 89 misoomsuuf hojjetamaa jira jedhame.

Naannichatti misooma jallisiin lafa hektaara kuma dhibba 3 fi kuma 89 misoomsuun callaa kuntaala Miiliyoona 200 ol argachuuf karoorfamee hojjetamaa jiraachuu Biiroon Qonnaa fi Qabeenya uummamaa Oromiyaa beeksise.

Hogganaan Biiroo Qonnaa fi Qabeenya uummamaa Oromiyaa obbo Dhaabaa Dabaleen akka Faanaa Biroodkaastiing koorporeetitti  himaniin oomisha jallisii bara kanaan qamadii balhinaan oomishuuf godinaaleen 4 adda bahaniiru jedhan.

Godinalee 18 keessaattis qamadii balhinaan oomishuun wabii nyaataa fi meeshaalee buhuraa guutuuf xiyyeeffannoon hojjetamaa jiraachuu dubbataniiru.

Baasii guddaan qamadii biyya alaa irraa galu hambisuuf karoorfamee hojjetamaa jira jedhan obbo Dhaabaan.

Dabalataan naannichatti proojaktii jallisii ijaaruuf Birriin Biiliyoonni 8 ol mootummaa naannichaa fi Federaalaan ramadameera jedhan.",agriculture
5,"Weerarri awwaannisaa naannoo Oromiyaa godina Baalee aanaa Raayituutti mudate.

Waajjirri Dhimmoota Koominikeeshinii Aanaa Raayituu akka beeksisetti weerarichi aanichatti muulhateera.

Akka waajjirichaatti ummanni weeraricha tohachuuf waan dandeettiisaa taasisaa jira.

Hoggansi aanaas ummata duuka tahuun deeggarsa yeroon gaafatu gochaa jira.

Weerarri awwaannisaa aanichatti mudate kun gara aanaa Daawwee Qachan, Gooroo fi Gurraa Dhaamoleetti akka hin ceene of eeggannaa fi tumsi ni barbaachisa jedheera.
",agriculture
6,"Maaykiroosooft qonnaan bultoota Afrikaatif deeggarsa ogummaa teeknooloojii fi infoormeeshinii dhiyeessufi.

Dhaabbatichi deeggarsa kana taasisuuf kan murteesse Baankiin Addunyaa waamicha dhiyeesseni.

Baankichi qonnaan bultoonni Afrikaa miiliyoona 1 tahan oomishtummaan isaanii akka dabaluu fi rakkoo dandamachuu akka dandahan deeggaruuf murteessera.

Haaluma kanaan Maayikiroosooft kalaqoota Keeniyaa 14f deeggarsa teeknikaa fi daldalaa ni laata jedhameera.

Hojiin deeggarsaa kun kalaqxoota waliin tumsaan kan hojjetamudha.

Misooma bishaanii, jijjiirrama qabeenya qilleensaa, eegumsa qabeenya uumamaa fi hojii qonnaa gabbisuu fi rakkoolee gama kanaan mudataniif furmaata laachuuf Doolaarri Ameerikaa miiliyoonni 50 ramadameera.

Maayikiroosooft biyyoota 11tti Warraaqsa Magariisummaa Afrikaa waliin tumsaan hojjechuuf waliigalteerra ega gahame baatii 3 taheera.

Sagantichaan gabaa nyaata Afrikaa amma Doolaara Ameerikaa biiliyoona 300 irra jiru, 2030tti Doolaara tiriiliyoona 1 oliin gahuuf gargaara jedhameera.",agriculture
7,"Koreen dhaabbii dhimma qabeenya uumamaa, jallisii fi inarjii Mana Maree Bakka Buhoota Ummataa FDRI raawwii ijaarsa Hidha Haaromsaa daawwate.

Itti aanaan hoji gaggeessaa proojaktichaa obbo Balaachaw Kaasaan korichaaf akka akka beeksisanitti, raawwiin waliigalaa ijaarsichaa %70 qaqqabeera.

Amma dhuma bara kanaattis yuuniitiin 9 fi 10 anniisaa maddisiisuuf bishaan akka kuufatan ni taasifama jedhan.

Dhuma bara 2013 yuunitoonni lamaan idahamaan anniisaa meeggaa waatii 750 kan maddisiisan tahuun eerameera.
",agriculture
8,"Ministeerri Qonnaa Proojaktii Misooma Qabeenya Beelladaa fi Qurxummiif konkolaattoota dhibba 1 fi 22 deeggarsaan laate.

Furtuu konkolaattootaa minstirri Ministeera Qonnaa obbo Umar Useen qindeessaa proojaktii biyyooleesiichaa Dooktar Toomaas Charinnatiif laataniiru.

Proojaktiin kun misooma aannanii, lukkuu, qurxuummii fi foon irratti kan xiyyeeffatedha.

Proojaktichi naannolee 6, aanaalee 58 fi gandoota kuma 1 fi 775 keessatti hojiirra kan ooludha.

Doolaara Ameerikaaa 106 Baankii Addunyaa irraa argameen konkolaattonni dhibbi 1 fi 22 bitamaniiru.

Konkolaattonni kanneen torbee dhuftuu kaasee naannolee proojaktoonni jiranitti kan qaqqabsiifaman taha.
",agriculture
9,"Weerara hoomaa Awwaannisaa ittisuuf xiyyeeffannoon hojjetamaa jiraachuu Ministeerri Qonnaa beeksise.

Weerarri hoomaa Awwaannisa sababa jijjiirrama qabeenya qilleensaan Ityoophiyaa keessatti iddoo tokko tokkotti uummamaa jiraachuu Daayreekterri Daayreektooreetii Eeggumsa Biqiltuu obbo Zabdewoos Salaattoon ibsaniiru.

Keessattuu bara kana itti fufiinsaan biyyoota ollaa kanneen akka Soomaaliyaa, Soomaalee Laandii fi Puunti Laand irraa gara Ityoophiyaa seenaa jiraachuu ibsaniiru.

Sababa kanaan naannoo Baha Harargee, Sumaalee, Baalee fi naannoolee birootti weerarri hoomaa Awwaannisaa kuduraa fi muduraa irra miidhaa cimaa osoo hin qaqqabsiisiin hojiin ittisuu hojjetamaa akka jiru obbo Zabdewoos ibsaniiru.

Weerara Awwaannisaa alaa galaa jiru kana iddoolee murteessoo tahan irratti ogeeyyii fi xiyyaara fayyadamuun hojiin ittisuu xiyyeeffannoon hojjetamaa jira jedhan.

Akka EBCsiin gabaaseetti Roobni roobaa jiru wal hormaata hoomaa Awwaannisaaf haala mijataa uumaa waan jiruuf weerarichi itti fufuu dandaha jedhameera.",agriculture
10,"Hojiin Misooma Sululaa fi Kunuunsa Qabeenya uummamaa bara 2012 Godinaalee Oromiyaa garaagaraa keessatti eegalamee jira.

Guyyaa harhaa hojiin misooma sululaa fi kunuunsa qabeenya uummamaa Godina Gujii aanaalee 14 keessatti lafa hektaara kuma 60 ol misoomsuuf eegalamuu isaa ibsameera.

Godinichatti hojii misooma sululaa kana irratti qonnaan bultoonni fi horsiisee bultoonni kumni dhibbi 1 fi kumni 80 kan hirmaatan tahuu ibsameera.

Bifuma walfakkaatuun hojiin misooma sululaa kun Godina Harargee Lixaattis kan eegalame yoo tahu, duula kana irratti hoggantoonni Biiroo Qonnaa fi Qabeenya Uummaa Oromiyaa argamaniiru.

Bara kana Oromiyaa keessatti lafa hektaara miiliyoona 2.1 hojii misooma sululaan misoomsuuf hojiin isaa duulan eegalamuu hogganaan Biiroo Qonnaa fi Qabeenya Uummamaa Oromiyaa obbo Dhaabaa Dabalee dubbataniiru.

Misooma kanaaf sululawwan kumni 6 fi 448 adda bahuu fi namoonni miiliyoonni 6.8 irratti kan hirmaatan tahuu ibsaniiru.

Aanaalee godinichaa hojii misooma sululaan muuxxannoo gaarii qaban caalmaatti cimsuuf ni hojjetama jedhameera.

Akka OBN gabaaseetti jiraattoonni Godinaalee kanneennis buhaa kunuunsa qabeenya uumamaa fi misooma sululaa irraa argamaa jiru itti fufsiisuuf bara kana bifa qindaaheen hojjechuuf hojii eegaluu isaanii ibsameera.",agriculture
