,news,catagory
194,"Finfinnee, Muddee 24, 2012 (FBC) - Abbaan Taayitaa Daandiiwwanii Bulchiinsa Magaalaa Finfinnee proojaktoota daandiiwwanii 16 fi riqaalee 7 ijaarsi isaanii xumurame ebbisiise.

Proojaktoonni ebbifaman kanneen kutaalee bulchiinsa magaalichaa garaagaraatti kan hojjeetamanidha.

Daandiiwwanii fi riqaaleen kanneen kiilo meetira 25 fi balhina meetira 10 – 30ti jedhameera.

Daandiiwwanii fi riqaalee kunneen baajata bulchiinsi magaalaa Finfinnee ramade Birrii biiliyoona 1 oliin hojjetaman.

Proojaktonni kanneen irra caalaan yeroo qabameef keessatti kan xumuramanidha.",economics
195,"Rakkoolee invastimantii alaa harkisuu mudataa jiran furuuf waltajjiin qindoominaa hundaahe

Finfinnee, Muddee 23, 2012 (FBC)- Rakkoolee invastimantii alaa harkisuu mudataa jiran furuuf waltajjiin qindoominaa hundaahuun himameera.

Rakkoolee adeemsa invastimantii harkisuu mudataa jiran haala furuun dandahamu irratti guyyaa har'aa waltajjiin marii gaggeeffameera.

Jijjiirrama yeroo ammaa dhufe sababeeffachuun abbootiin qabeenya alaa hedduun invastii gochuuf dhufaa akka jiran Ministirri Dhimma Alaa FDRI obbo Gadduu Andaargaachaw ibsaniiru.

Haa tahuutii abbootii qabeenyaa kanneen sirnaan simachuu fi gara hojiitti galchuu irratti hanqinaaleen jiraachuu ibsaniiru.

Waltajjiin rakkoolee kanneen furuu fi hordofuu dandahu seektaroota dhimmichi ilaallatu irraa walitti dhufuun akka qophaahuu barbaachisaa tahee argamuu isaa ibsaniiru.

Rakkoolee Invastimantii alaa mudatan akkaataa tartiiba isaan adda baasuun haaluma rakkoo isaan hordofuun furmaata laachuuf waltajjii dhaabbataa hundeessuun barbaachisaa tahuu sadarkaa ministiraatti gorsaan maakiroo ikkoonoomii muummee ministiraa Ambaasaaddar Girmaa Biruu ibsaniiru.

Rakkicha dhaabbiin itti dhiyeenyaan hordofuuf waltajjiin qindoominaa itti gaafatamtoonni seerkaroota dhimmichi ilaallatu irraa hundeessuun barbaachisaa tahuu isaa irratti walii galameera jedhan.

Haaluma kanaan dhuma baatii amajjii waltajjiin qiindoominaa Ambaasaaddar Girmaan durfamu kan gaggeeffamu tahuu ibsameera.

Walgahii harhaa irratti obbo Gadduu Andaargaachaw, Ambaasaaddar Girmaa Birruu, Dooktar Injiinar Silashii Baqqalaa, obbo Taklawaldi Axinaafuu, Dooktar Yinnaaggar Dassee, fi ministeeroonni hedduun irratti hirmaachuu isaanii ragaan Waajjira Dubbi Himaa Ministeera Dhimmaa Alaa argame ni mulhisa.",economics
196,"Kaffaltoonni gibiraa federaalaa gibira irraa eegamu karaa elektirooniiksiin akka kaffalan gaafatame

Finfinnee, Muddee 24, 2012 (FBC) - Kaffaltoonni gibiraa federaalaa yeroon kaffaltii isaanii osoo hin xumuramin gibira irraa eegamu karaa elektirooniiksiin akka kaffalan Ministeerri Galiiwwanii gaafate.

Kaffaltoonni gibiraa olaanoo, jiddugaleessaa, akkasumas xiqqaan bahaa fi dhiha magaalaa Finfinneetti keessummeeffaman yeroon kaffaltii osoo hin xumuramin mala elektirooniiksiin akka kaffalan gaafatameera.

Muuddee keessa i-faayil godhanii kaffaltii i-peeymant kan hin raawwatin, yeroon kaffaltii osoo hin xumuramin dirqama isaanii akka ba'atan ministeerichi gaafateera.

Karaa iintarneet baankiingii yookin baatii Muddee qofaaf karaa damee Baankii Daldalaa herreega itti bananitti koorbaankiingiin akka kaffalan waamichi dhiyaatera.",economics
197,"Raagni diinagdee Guddina Oomisha Waliigalaa Biyya keessaa Ityoophiyaa 2012tti %10.8 kan qaqqabu ta'uu Baankiin Biyyoolessaa Ityoophiyaa beeksise.

Guddinni diinagdee biyyattiis ariifataa akka ta'u baankichi eerera.

Kunis kan baroota darbaniirra fooyya'aa ta'uu ibseera.

Guddinni diinagdichaa akka galmaa'uf damee faaynaansiirratti fooyyessi taasifamuunn abdii horeera.

Haaluma kanaan diinagdeen biyyattii amma Waxabajjii 2012tti %10.8 kan guddatu ta'uun ibsameera.

Baankichi gabaasa isaatin akka beeksisetti diinagdeen biyyattii bara darbe guddina %9 galmeessiseera.

Qaala'iinsa gatii fi alergiirratti rakkoo muul'atuun ala diinagdeen biyyattii fayya qabeessaa fi abdachiisaa ta'uus baankichi beeksiseera.

Fooyyessi diinagdee taasifame, diinagdee biyyattii kan dadammaqsee fi abdii itti hore ta'uun eerameera.

Qaala'iinsi gatii waggaadhaa amma waggaa kan baatii Muddee %19.5 yoo ta'u, kan baatii darbeemmoo %20.8 ture.",economics
198," Handhuura Finfinnee Gootaraatti ijaarsi naannoo mana jireenyaa Amiibaaraa eegalame.

Sirna eegalchiisuu kana irratti itti aanaa Kaantibaa Magaalaa Finfinnee Injiiner Taakkalaa Uumaa dabalatee, Ministirri Misooma Magaalaa fi Konistiraakshinii FDRI Injiinera Ayishaa Mahaamad, dhalattoonni naannoo Affaarii fi jiraattoonni magaalichaa hedduun argamaniiru.

Ijaarsa naannoo mana jireenyaa ammaayyaa kana abbootiin qabeenyaa Affaarii fi bulchiinsi magaalaa Finfinnee waliin tahuun kan raawwaattan akka tahe himameera.

Manneen jireenyaa kun lafa kaaree meetira kuma 50 irratti kan ijaarramu akka tahes eerrameera.

Ijaarsichi Appaartimantoota mana jireenyaa 450 dabalatee, giddugala gabaa, Hooteeloota, iddoolee bashannanaa, giddu gala daldalaa, naannoo magariisaa fi giddugala aadaa Affaar kan hammate tahuu ibsameera.

Akkasumas dargaggoota hojii dhabeeyyii kuma 10 oliif carraa hojii dhaabbii fi yeroo ni uuma jedhameera.

Manneen jireenyaa kun Birrii biiliyoona 11 kan ijaarramu yoo tahu, yeroo itti aanus proojektoonni kanneen akka kanaa dabalataan ni ijaarramu jedhameera.

Ijaarsi naannoo mana jireenyaa kun rakkoolee mana jireenyaa magaalichaa furuu akka dandahuu fi bulchiinsi magaalichaa deeggarsa barbaachisu kan godhu tahuu itti aanaa Kaantiibaan Magaalaa Finfinnee Injiinera Taakkalaa Uumaan himuu isaanii ragaan waajjira Kaantibichaa argame ni mulhisa.",economics
199,"Boordiin daayreektara Trast Fandii Diyaaspooraa Ityoophiyaa qophii proojaktoota adda baasuu xumuruu beeksise.

Qophichaan proojaktoota 22 adda baasuusaa beeksiseera.

Qophiin proojaktii jalqabaa Fulbaana darbe keessa mata duree ""Tumsi diyaaspooraa Ityoophiyaa, jireenyaa fi hawaasummaa fooyyessuuf lammiilee deeggarsa barbaadaniif qaqqabuu"" jedhuun kan eegalamedha.

Erga sanaayis proojaktoota dhiyaataniif 300 keessaa hojiirra ooluu kan qaban adda baasaa tureera.

Isaan keessaa 22n adda baafaman baajatni, humnii fi bulchiinsi ilaallamee hojiirra ni oolu jedheera boordiin daayreektara Trast Fandii Diyaaspooraa Ityoophiyaa ibsa baasen.

Proojaktoota hojiirra akka oolaniif adda baafaman kanneen kan filate tola ooltota hayyoota Ityoophiyaa keessa hojjetanii fi hawaasa diyaaspooraa Ityoophiyaati jedhameera.

Ulaagaan ittiin adda baafaman waaraa ta'uu, humni kuufamaan jiraachuu, egereen isaanii guddachuu kan danda'u, qabatamummaa ta'uu, kalaqaa fi innooveeshinii kan qaban, maallaqa kan qusatan, iftoomina, koominikeeshinii fi dorgomtummaa naannoo kan qabani jedhameera.

Dura taa'aan boordii daayreektara Trast Fandii Diyaaspooraa Ityoophiyaa Iyyasuus Warq Zaafuun fandiin argame proojaktoota filatamaniif qixa ni qoodama jedhaniiru.

Marsaa jalqabaatin Doolaarri Ameerikaa miiliyoonni 4 qabameera.

Baajatni xiqqaa fi olaanaan proojaktiif ramadamu $200,000 fi $350,000 duraa duuban.",economics
200,"Biiroon Galiiwwanii naannoo Amaaraa baatii shaan keessatti galii Birrii biiliyoona 5.5 walitti qabuu beeksise.

Hoggantuun biirichaa aadde Bizuhaayyahu Biyaazin akka ibsanitti, Birrii biiliyoona 5.8 walitti qabuuf karoorfamee, Birrii biiliyoona 5.5 walitti qabamuun dandahameera jedhan.

Aadde Bizuhaayyahu Biyaazin galiin walitti qabame kan bara darbee waliin wal bira yoo qabamu, Birrii biiliyoona 1.1 caalmaa qabachuu himaniiru.

Biirichi bara baajata kanatti Birrii biiliyoona 14.1 walitti qabuuf karoorfateera.

Naatnaaheel Xigaabuutu gabaase.",economics
201,"Muummee ministiraa Dooktar Abiy Ahimad misooma magariisaa qarqara lageenii naannoo Hoteela Sharaatanitti deeggarsa mootummaa Chaayinaatin hojjetamaa jiru daawwatan.

Hojiin proojaktichaa %45 irra kan ga'e yammuu ta'u, Caamsaa keessa ni xumuramaan eegama.

Daawwii kanarratti itti aanaan kantiibaa magaalaa Finfinnee Injiinar Taakkalaa Uumaa fi hoggansi mootummaa biroon argamaniiru.

Proojaktiin kun qaama misooma magariisaa fi qarqara lageenii magaalaa Finfinnee; kiilo meetira 12 uwwisuuti.

Proojaktiin kun Fulbaana 20,2012 ture muummee ministiraa Dooktar Abiy Ahimadii fi Ityoophiyaatti Ambaasaaddara Chaayinaa Saanji'oonin dhagaan bu'uuraa kan kaa'ameef.

Ogeeyyiin Chaayinaa Amajjii 2011 proojakticharratti qorannaa ega gaggeessaniin booda Eebila 2011 ture hojjechuuf waliigaltee kan mallatteessan.

Yerichattis muummee ministiraa FDRI Dooktar Abiy Ahimadii fi muummee ministiraa Chaayinaa Liikiichiyaang turan waliigalticha kan mallatteessan.

Misoomni qarqara lageenii magaalaa Finfinnee waliigalaan Birrii biiliyoona 29n kan hojjetamu yammuu ta'u, waggaa 3 keessatti ni xumurama jedhameet eegama.

Proojaktichi misooma lageen magaalaa Finfinnee lamatti hiranii Inxooxxorraa gara Aqaaqiitti yaa'an kiilo meetira 56 uwwisa.

Hojichaan heektaarri kumni 4 kan misoomu ta'a.

Proojaktichaan misoomni riqaalee, haroowwan namtolchee, iddoowwan magariisaa, jiddugaloonni bashannanaa, geejibni bishaanii fi wiirtuleen daldalaa hammatamaniiru.

Proojaktiin misoomaa kun uwwisa magariisummaa magaalaa Finfinnee 0.3 irraa gara 7tti ol guddisa.",economics
202,"Wixineen labsii eksaayiz taaksii haaraan fooyyahee bahe meeshaalee tokko tokko irratt hirhifama gatii fiduu akka dandahu ibsame

Finfinnee, Muddee 21, 2012 (FBC) – Taaksii dabalata galii fooyyeessuuf qorannoon gadi fageenyaan gaggeeffamuu Ministeerri Galiiwwanii beeksiseera.

Kaayyoon taaksii dabalata galii fooyyeessuu waantoota hawaasa miidhan hambisuu fi galii fooyyeessuuf akka tahe Ministirri Ministeera Galiiwwanii aadde Adaanach Abeebee dubbataniiru.

Wixineen labsii taaksii dabalata galii fooyyahe kun eksaayiz taaksiin guddina biyyaaleessummaa waliin akka wali gituu fi sirna taaksii buhaa qabeessa taasiisuuf qorannoo itti yaaddamee qophaahe tahuu ibsaniiru.

Taaksiin dabalata galii biyyaaf faayidaa olaanaa qabaachuu kan himan daayreektooreetiin daayreektar qorannoo Imaammata taaksii Ministira Maallaqaa obbo Mulaay Walduu labsichi bara 1995 erga hojiirra oolee booda fooyyahiinsa muraasa qabaatus fooyyahiinsi buhuraa hin taasiifamneef jedhan.

Wixineen fooyyahe gosa meeshaalee tokko tokko irratti hirhafama gatii fiduu dandaha jedhaniiru.

Meeshaaleen biyya keessatti oomiishaman gatiin isaa madaallawaa akka tahuu fi konkolaattoonni moofaan naannoo faalan baayyhinaan gara biyya keessaa akka hin galle ni labsichi kan gargaaru tahuu obbo Mulaay ibsaniiru.

Konkolaattoota biyya keessatti oomishamanii fi haaraaf taaksii dabalata galii hirhisuu fi baasii suphaa hambisuuf kan gargaaru tahuus ragaan Ministeera Galiiwwanii irraa argame ni agarsiisa.",economics
203," Agarsiisaa fi baazaariin intarpiraayizoota xixiqqaa biyyoolessaa Finfinneetti baname.

Agarsiisichi Muddee 21 amma Muddee 27,2012tti kan turu ta'a.

Sirna baniinsaa agarsiisaa fi baazaarii biyyoolessaa kanarratti ministirri Ministeera Misooma Magaalaa fi Koonistiraakshinii Injiinar Ayshaa Mahaammad argamaniiru.

Hoji dhabdummaa magaalotatti muul'atu furuuf ga'een misooma intarpiraayizootaa olaanaa ta'uu Injiinar Ayshaan ibsaniiru.

Rakkoo hoji dhabdummaa muul'atu furuuf misooma intarpiraayizootaa jabeessuun murteessaa ta'uus eeraniiru.",economics
